phone_number,domestic,friendly_name,locality,region,iso_country,bn_dn_count,bn_dn_pct,digital_root,longest_repeat_run,longest_bn_dn_run,trailing4
+17655655651,7655655651,(765) 565-5651,Carthage,IN,US,8,0.8,6,2,8,5651
+15855656659,5855656659,(585) 565-6659,Rochester,NY,US,8,0.8,6,2,7,6659
+15752555656,5752555656,(575) 255-5656,San Ysidro,NM,US,8,0.8,6,3,6,5656
+16575665550,6575665550,(657) 566-5550,,US,US,8,0.8,5,3,6,5550
+16575665659,6575665659,(657) 566-5659,,US,US,8,0.8,6,2,6,5659
+17655166555,7655166555,(765) 516-6555,Martinsville,IN,US,8,0.8,6,3,5,6555
+12056565562,2056565562,(205) 656-5562,Gordo,AL,US,7,0.7,6,2,7,5562
+17855665567,7855665567,(785) 566-5567,Pomona,KS,US,7,0.7,6,2,7,5567
+18578555565,8578555565,(857) 855-5565,,US,US,7,0.7,5,4,6,5565
+13516665667,3516665667,(351) 666-5667,Peabody,MA,US,7,0.7,6,3,6,5667
+14752655565,4752655565,(475) 265-5565,Trumbull,CT,US,7,0.7,5,3,6,5565
+16084655566,6084655566,(608) 465-5566,Woodford,WI,US,7,0.7,6,3,6,5566
+16365566670,6365566670,(636) 556-6670,Valley Park,MO,US,7,0.7,5,3,6,6670
+17164665556,7164665556,(716) 466-5556,Holland,NY,US,7,0.7,6,3,6,5556
+12056565535,2056565535,(205) 656-5535,Gordo,AL,US,7,0.7,6,2,6,5535
+15405655669,5405655669,(540) 565-5669,Union Hall,VA,US,7,0.7,6,2,6,5669
+16365566518,6365566518,(636) 556-6518,Valley Park,MO,US,7,0.7,6,2,6,6518
+17655655164,7655655164,(765) 565-5164,Carthage,IN,US,7,0.7,5,2,6,5164
+17655655245,7655655245,(765) 565-5245,Carthage,IN,US,7,0.7,5,2,6,5245
+17655655354,7655655354,(765) 565-5354,Carthage,IN,US,7,0.7,6,2,6,5354
+17655655363,7655655363,(765) 565-5363,Carthage,IN,US,7,0.7,6,2,6,5363
+18565566216,8565566216,(856) 556-6216,Pitman,NJ,US,7,0.7,5,2,6,6216
+19512665565,9512665565,(951) 266-5565,Riverside,CA,US,7,0.7,5,2,6,5565
+15636666598,5636666598,(563) 666-6598,Walcott,IA,US,7,0.7,6,4,5,6598
+18653655552,8653655552,(865) 365-5552,Sevierville,TN,US,7,0.7,5,4,5,5552
+12562865556,2562865556,(256) 286-5556,Hartselle,AL,US,7,0.7,5,3,5,5556
